game_date,game_pk,team,player_name,batter,batter_pa_number_this_game,outs_when_up,runner_situation_start,runner_situation_before_final_pitch,runner_situation_changed_during_pa,events,inning,bat_score,fld_score
2025-03-27,NYA202503270,NYA,"Wells, Austin",wella002,1,0,empty,empty,1,home_run,1,0,0
2025-03-27,NYA202503270,NYA,"Judge, Aaron",judga001,1,0,empty,empty,1,field_out,1,1,0
2025-03-27,NYA202503270,NYA,"Bellinger, Cody",bellc002,1,1,empty,empty,1,strikeout,1,1,0
2025-03-27,NYA202503270,NYA,"Goldschmidt, Paul",goldp001,1,2,empty,empty,1,field_out,1,1,0
2025-03-27,NYA202503270,NYA,"Chisholm, Jazz",chisj001,1,0,empty,empty,1,strikeout,2,1,0
2025-03-27,NYA202503270,NYA,"Dominguez, Jasson",domij003,1,1,empty,empty,1,field_out,2,1,0
2025-03-27,NYA202503270,NYA,"Volpe, Anthony",volpa001,1,2,empty,empty,1,home_run,2,1,0
2025-03-27,NYA202503270,NYA,"Rice, Ben",riceb001,1,2,empty,empty,1,strikeout,2,2,0
2025-03-27,NYA202503270,NYA,"Cabrera, Oswaldo",cabro002,1,0,empty,empty,1,field_out,3,2,1
2025-03-27,NYA202503270,NYA,"Wells, Austin",wella002,2,1,empty,empty,1,strikeout,3,2,1
2025-03-27,NYA202503270,NYA,"Judge, Aaron",judga001,2,2,empty,empty,1,strikeout,3,2,1
2025-03-27,NYA202503270,NYA,"Bellinger, Cody",bellc002,2,0,empty,empty,1,single,4,2,1
2025-03-27,NYA202503270,NYA,"Goldschmidt, Paul",goldp001,2,0,1B,1B,1,strikeout,4,2,1
2025-03-27,NYA202503270,NYA,"Chisholm, Jazz",chisj001,2,1,1B,1B,1,field_out,4,2,1
2025-03-27,NYA202503270,NYA,"Dominguez, Jasson",domij003,2,2,1B,1B,1,field_out,4,2,1
2025-03-27,NYA202503270,NYA,"Volpe, Anthony",volpa001,2,0,empty,empty,1,strikeout,5,2,1
2025-03-27,NYA202503270,NYA,"Rice, Ben",riceb001,2,1,empty,empty,1,single,5,2,1
2025-03-27,NYA202503270,NYA,"Cabrera, Oswaldo",cabro002,2,1,2B,2B,1,field_out,5,2,1
2025-03-27,NYA202503270,NYA,"Wells, Austin",wella002,3,2,2B,2B,1,walk,5,2,1
2025-03-27,NYA202503270,NYA,"Judge, Aaron",judga001,3,2,1B+2B,1B+2B,1,strikeout,5,2,1
2025-03-27,NYA202503270,NYA,"Bellinger, Cody",bellc002,3,0,empty,empty,1,walk,6,2,1
2025-03-27,NYA202503270,NYA,"Goldschmidt, Paul",goldp001,3,0,1B,1B,1,strikeout,6,2,1
2025-03-27,NYA202503270,NYA,"Chisholm, Jazz",chisj001,3,1,1B,1B,1,walk,6,2,1
2025-03-27,NYA202503270,NYA,"Dominguez, Jasson",domij003,3,1,1B+2B,1B+2B,1,field_out,6,2,1
2025-03-27,NYA202503270,NYA,"Volpe, Anthony",volpa001,3,2,1B+2B,1B+3B,0,field_out,6,2,1
2025-03-27,NYA202503270,NYA,"Rice, Ben",riceb001,3,0,empty,empty,1,walk,7,2,1
2025-03-27,NYA202503270,NYA,"Cabrera, Oswaldo",cabro002,3,0,1B,1B,1,single,7,2,1
2025-03-27,NYA202503270,NYA,"Wells, Austin",wella002,4,0,1B+2B,1B+2B,1,field_out,7,2,1
2025-03-27,NYA202503270,NYA,"Judge, Aaron",judga001,4,1,1B+2B,1B+2B,1,double,7,2,1
2025-03-27,NYA202503270,NYA,"Bellinger, Cody",bellc002,4,1,2B+3B,2B+3B,1,sac_fly,7,3,1
2025-03-27,NYA202503270,NYA,"Goldschmidt, Paul",goldp001,4,2,2B,2B,1,field_out,7,4,1
2025-03-27,NYA202503270,NYA,"Chisholm, Jazz",chisj001,4,0,empty,empty,1,strikeout,8,4,1
2025-03-27,NYA202503270,NYA,"Grisham, Trent",grist001,1,1,empty,empty,1,single,8,4,1
2025-03-27,NYA202503270,NYA,"Volpe, Anthony",volpa001,4,1,1B,1B,1,field_out,8,4,1
2025-03-29,NYA202503290,NYA,"Goldschmidt, Paul",goldp001,1,0,empty,empty,1,home_run,1,0,0
2025-03-29,NYA202503290,NYA,"Bellinger, Cody",bellc002,1,0,empty,empty,1,home_run,1,1,0
2025-03-29,NYA202503290,NYA,"Judge, Aaron",judga001,1,0,empty,empty,1,home_run,1,2,0
2025-03-29,NYA202503290,NYA,"Chisholm, Jazz",chisj001,1,0,empty,empty,1,strikeout,1,3,0
2025-03-29,NYA202503290,NYA,"Volpe, Anthony",volpa001,1,1,empty,empty,1,field_out,1,3,0
2025-03-29,NYA202503290,NYA,"Wells, Austin",wella002,1,2,empty,empty,1,home_run,1,3,0
2025-03-29,NYA202503290,NYA,"Reyes, Pablo",reyep001,1,2,empty,empty,1,walk,1,4,0
2025-03-29,NYA202503290,NYA,"Dominguez, Jasson",domij003,1,2,1B,1B,1,walk,1,4,0
2025-03-29,NYA202503290,NYA,"Grisham, Trent",grist001,1,2,1B+2B,1B+2B,1,strikeout,1,4,0
2025-03-29,NYA202503290,NYA,"Goldschmidt, Paul",goldp001,2,0,empty,empty,1,walk,2,4,3
2025-03-29,NYA202503290,NYA,"Bellinger, Cody",bellc002,2,0,1B,1B,1,field_out,2,4,3
2025-03-29,NYA202503290,NYA,"Judge, Aaron",judga001,2,1,1B,1B,1,field_out,2,4,3
2025-03-29,NYA202503290,NYA,"Chisholm, Jazz",chisj001,2,2,1B,1B,1,single,2,4,3
2025-03-29,NYA202503290,NYA,"Volpe, Anthony",volpa001,2,2,2B+3B,2B+3B,1,home_run,2,4,3
2025-03-29,NYA202503290,NYA,"Wells, Austin",wella002,2,2,empty,empty,1,walk,2,7,3
2025-03-29,NYA202503290,NYA,"Reyes, Pablo",reyep001,2,2,1B,1B,1,field_out,2,7,3
2025-03-29,NYA202503290,NYA,"Dominguez, Jasson",domij003,2,0,empty,empty,1,walk,3,7,3
2025-03-29,NYA202503290,NYA,"Grisham, Trent",grist001,2,0,1B,1B,1,single,3,7,3
2025-03-29,NYA202503290,NYA,"Goldschmidt, Paul",goldp001,3,0,1B+3B,1B+3B,1,hit_by_pitch,3,7,3
2025-03-29,NYA202503290,NYA,"Bellinger, Cody",bellc002,3,0,1B+2B+3B,1B+2B+3B,1,single,3,7,3
2025-03-29,NYA202503290,NYA,"Judge, Aaron",judga001,3,0,1B+2B+3B,1B+2B+3B,1,home_run,3,8,3
2025-03-29,NYA202503290,NYA,"Chisholm, Jazz",chisj001,3,0,empty,empty,1,home_run,3,12,3
2025-03-29,NYA202503290,NYA,"Volpe, Anthony",volpa001,3,0,empty,empty,1,strikeout,3,13,3
2025-03-29,NYA202503290,NYA,"Wells, Austin",wella002,3,1,empty,empty,1,field_out,3,13,3
2025-03-29,NYA202503290,NYA,"Reyes, Pablo",reyep001,3,2,empty,empty,1,field_out,3,13,3
2025-03-29,NYA202503290,NYA,"Dominguez, Jasson",domij003,3,0,empty,empty,1,strikeout,4,13,4
2025-03-29,NYA202503290,NYA,"Grisham, Trent",grist001,3,1,empty,empty,1,walk,4,13,4
2025-03-29,NYA202503290,NYA,"Goldschmidt, Paul",goldp001,4,1,1B,1B,1,double,4,13,4
2025-03-29,NYA202503290,NYA,"Bellinger, Cody",bellc002,4,1,2B+3B,2B+3B,1,sac_fly,4,13,4
2025-03-29,NYA202503290,NYA,"Judge, Aaron",judga001,4,2,2B,2B,1,home_run,4,14,4
2025-03-29,NYA202503290,NYA,"Chisholm, Jazz",chisj001,4,2,empty,empty,1,field_out,4,16,4
2025-03-29,NYA202503290,NYA,"Volpe, Anthony",volpa001,4,0,empty,empty,1,field_out,5,16,6
2025-03-29,NYA202503290,NYA,"Wells, Austin",wella002,4,1,empty,empty,1,field_out,5,16,6
2025-03-29,NYA202503290,NYA,"Reyes, Pablo",reyep001,4,2,empty,empty,1,field_out,5,16,6
2025-03-29,NYA202503290,NYA,"Dominguez, Jasson",domij003,4,0,empty,empty,1,field_out,6,16,6
2025-03-29,NYA202503290,NYA,"Grisham, Trent",grist001,4,1,empty,empty,1,field_error,6,16,6
2025-03-29,NYA202503290,NYA,"Goldschmidt, Paul",goldp001,5,1,1B,1B,1,field_out,6,16,6
2025-03-29,NYA202503290,NYA,"Bellinger, Cody",bellc002,5,2,2B,2B,1,single,6,16,6
2025-03-29,NYA202503290,NYA,"Judge, Aaron",judga001,5,2,2B,2B,1,double,6,17,6
2025-03-29,NYA202503290,NYA,"Chisholm, Jazz",chisj001,5,2,2B,2B,1,field_out,6,18,6
2025-03-29,NYA202503290,NYA,"Volpe, Anthony",volpa001,5,0,empty,empty,1,walk,7,18,6
2025-03-29,NYA202503290,NYA,"Escarra, J. C.",escaj001,1,0,1B,1B,1,strikeout,7,18,6
2025-03-29,NYA202503290,NYA,"Peraza, Oswald",perao002,1,1,1B,1B,1,home_run,7,18,6
2025-03-29,NYA202503290,NYA,"Dominguez, Jasson",domij003,5,1,empty,empty,1,single,7,20,6
2025-03-29,NYA202503290,NYA,"Grisham, Trent",grist001,5,1,1B,1B,1,field_out,7,20,6
2025-03-29,NYA202503290,NYA,"Cabrera, Oswaldo",cabro002,1,2,1B,1B,1,field_out,7,20,6
2025-03-29,NYA202503290,NYA,"Bellinger, Cody",bellc002,6,0,empty,empty,1,field_out,8,20,7
2025-03-29,NYA202503290,NYA,"Judge, Aaron",judga001,6,1,empty,empty,1,field_out,8,20,7
2025-03-29,NYA202503290,NYA,"Chisholm, Jazz",chisj001,6,2,empty,empty,1,hit_by_pitch,8,20,7
2025-03-29,NYA202503290,NYA,"Volpe, Anthony",volpa001,6,2,1B,1B,1,walk,8,20,7
2025-03-29,NYA202503290,NYA,"Escarra, J. C.",escaj001,2,2,1B+2B,1B+2B,1,field_out,8,20,7
2025-03-30,NYA202503300,NYA,"Goldschmidt, Paul",goldp001,1,0,empty,empty,1,single,1,0,1
2025-03-30,NYA202503300,NYA,"Bellinger, Cody",bellc002,1,0,1B,1B,1,field_out,1,0,1
2025-03-30,NYA202503300,NYA,"Judge, Aaron",judga001,1,1,1B,1B,1,home_run,1,0,1
2025-03-30,NYA202503300,NYA,"Chisholm, Jazz",chisj001,1,1,empty,empty,1,strikeout,1,2,1
2025-03-30,NYA202503300,NYA,"Volpe, Anthony",volpa001,1,2,empty,empty,1,field_out,1,2,1
2025-03-30,NYA202503300,NYA,"Wells, Austin",wella002,1,0,empty,empty,1,strikeout,2,2,1
2025-03-30,NYA202503300,NYA,"Dominguez, Jasson",domij003,1,1,empty,empty,1,field_out,2,2,1
2025-03-30,NYA202503300,NYA,"Rice, Ben",riceb001,1,2,empty,empty,1,home_run,2,2,1
2025-03-30,NYA202503300,NYA,"Cabrera, Oswaldo",cabro002,1,2,empty,empty,1,field_out,2,3,1
2025-03-30,NYA202503300,NYA,"Goldschmidt, Paul",goldp001,2,0,empty,empty,1,field_out,3,3,1
2025-03-30,NYA202503300,NYA,"Bellinger, Cody",bellc002,2,1,empty,empty,1,field_out,3,3,1
2025-03-30,NYA202503300,NYA,"Judge, Aaron",judga001,2,2,empty,empty,1,intent_walk,3,3,1
2025-03-30,NYA202503300,NYA,"Chisholm, Jazz",chisj001,2,2,1B,1B,1,home_run,3,3,1
2025-03-30,NYA202503300,NYA,"Volpe, Anthony",volpa001,2,2,empty,empty,1,field_out,3,5,1
2025-03-30,NYA202503300,NYA,"Wells, Austin",wella002,2,0,empty,empty,1,field_out,4,5,3
2025-03-30,NYA202503300,NYA,"Dominguez, Jasson",domij003,2,1,empty,empty,1,walk,4,5,3
2025-03-30,NYA202503300,NYA,"Rice, Ben",riceb001,2,1,1B,1B,1,grounded_into_double_play,4,5,3
2025-03-30,NYA202503300,NYA,"Cabrera, Oswaldo",cabro002,2,0,empty,empty,1,strikeout,5,5,3
2025-03-30,NYA202503300,NYA,"Goldschmidt, Paul",goldp001,3,1,empty,empty,1,strikeout,5,5,3
2025-03-30,NYA202503300,NYA,"Bellinger, Cody",bellc002,3,2,empty,empty,1,field_out,5,5,3
2025-03-30,NYA202503300,NYA,"Judge, Aaron",judga001,3,0,empty,empty,1,walk,6,5,3
2025-03-30,NYA202503300,NYA,"Chisholm, Jazz",chisj001,3,0,1B,1B,1,single,6,5,3
2025-03-30,NYA202503300,NYA,"Volpe, Anthony",volpa001,3,0,1B+2B,1B+2B,1,field_out,6,5,3
2025-03-30,NYA202503300,NYA,"Wells, Austin",wella002,3,1,2B+3B,3B,0,field_out,6,6,3
2025-03-30,NYA202503300,NYA,"Dominguez, Jasson",domij003,3,2,empty,empty,1,strikeout,6,7,3
2025-03-30,NYA202503300,NYA,"Rice, Ben",riceb001,3,0,empty,empty,1,single,7,7,3
2025-03-30,NYA202503300,NYA,"Cabrera, Oswaldo",cabro002,3,0,1B,1B,1,single,7,7,3
2025-03-30,NYA202503300,NYA,"Goldschmidt, Paul",goldp001,4,0,1B+3B,1B+3B,1,single,7,7,3
2025-03-30,NYA202503300,NYA,"Bellinger, Cody",bellc002,4,0,1B+3B,1B+3B,1,sac_fly,7,8,3
2025-03-30,NYA202503300,NYA,"Judge, Aaron",judga001,4,1,1B,1B,1,walk,7,9,3
2025-03-30,NYA202503300,NYA,"Chisholm, Jazz",chisj001,4,1,1B+2B,1B+2B,1,home_run,7,9,3
2025-03-30,NYA202503300,NYA,"Volpe, Anthony",volpa001,4,1,empty,empty,1,strikeout,7,12,3
2025-03-30,NYA202503300,NYA,"Wells, Austin",wella002,4,2,empty,empty,1,field_out,7,12,3
2025-03-30,NYA202503300,NYA,"Grisham, Trent",grist001,1,0,empty,empty,1,hit_by_pitch,8,12,3
2025-03-30,NYA202503300,NYA,"Rice, Ben",riceb001,4,0,1B,1B,1,field_out,8,12,3
2025-03-30,NYA202503300,NYA,"Cabrera, Oswaldo",cabro002,4,1,1B,1B,1,single,8,12,3
2025-03-30,NYA202503300,NYA,"Goldschmidt, Paul",goldp001,5,1,1B+2B,1B+2B,1,single,8,12,3
2025-03-30,NYA202503300,NYA,"Reyes, Pablo",reyep001,1,1,1B+2B+3B,1B+2B+3B,1,field_out,8,12,3
2025-03-30,NYA202503300,NYA,"Peraza, Oswald",perao002,1,2,1B+2B+3B,1B+2B+3B,1,field_out,8,12,3
2025-04-01,NYA202504010,NYA,"Goldschmidt, Paul",goldp001,1,0,empty,empty,1,strikeout,1,0,0
2025-04-01,NYA202504010,NYA,"Bellinger, Cody",bellc002,1,1,empty,empty,1,strikeout,1,0,0
2025-04-01,NYA202504010,NYA,"Judge, Aaron",judga001,1,2,empty,empty,1,field_out,1,0,0
2025-04-01,NYA202504010,NYA,"Chisholm, Jazz",chisj001,1,0,empty,empty,1,strikeout,2,0,0
2025-04-01,NYA202504010,NYA,"Volpe, Anthony",volpa001,1,1,empty,empty,1,strikeout,2,0,0
2025-04-01,NYA202504010,NYA,"Wells, Austin",wella002,1,2,empty,empty,1,field_out,2,0,0
2025-04-01,NYA202504010,NYA,"Dominguez, Jasson",domij003,1,0,empty,empty,1,home_run,3,0,2
2025-04-01,NYA202504010,NYA,"Rice, Ben",riceb001,1,0,empty,empty,1,double,3,1,2
2025-04-01,NYA202504010,NYA,"Cabrera, Oswaldo",cabro002,1,0,2B,2B,1,walk,3,1,2
2025-04-01,NYA202504010,NYA,"Goldschmidt, Paul",goldp001,2,0,1B+2B,1B+2B,1,field_out,3,1,2
2025-04-01,NYA202504010,NYA,"Bellinger, Cody",bellc002,2,1,1B+2B,1B+2B,1,strikeout,3,1,2
2025-04-01,NYA202504010,NYA,"Judge, Aaron",judga001,2,2,1B+2B,1B+2B,1,field_out,3,1,2
2025-04-01,NYA202504010,NYA,"Chisholm, Jazz",chisj001,2,0,empty,empty,1,strikeout,4,1,2
2025-04-01,NYA202504010,NYA,"Volpe, Anthony",volpa001,2,1,empty,empty,1,home_run,4,1,2
2025-04-01,NYA202504010,NYA,"Wells, Austin",wella002,2,1,empty,empty,1,walk,4,2,2
2025-04-01,NYA202504010,NYA,"Dominguez, Jasson",domij003,2,1,1B,1B,1,single,4,2,2
2025-04-01,NYA202504010,NYA,"Rice, Ben",riceb001,2,1,1B+2B,2B+3B,0,strikeout,4,2,2
2025-04-01,NYA202504010,NYA,"Cabrera, Oswaldo",cabro002,2,2,2B+3B,2B+3B,1,field_error,4,2,2
2025-04-01,NYA202504010,NYA,"Goldschmidt, Paul",goldp001,3,2,1B,1B,1,field_out,4,4,2
2025-04-01,NYA202504010,NYA,"Bellinger, Cody",bellc002,3,0,empty,empty,1,walk,5,4,2
2025-04-01,NYA202504010,NYA,"Judge, Aaron",judga001,3,0,1B,2B,0,strikeout,5,4,2
2025-04-01,NYA202504010,NYA,"Chisholm, Jazz",chisj001,3,1,2B,2B,1,strikeout,5,4,2
2025-04-01,NYA202504010,NYA,"Volpe, Anthony",volpa001,3,2,2B,2B,1,field_out,5,4,2
2025-04-01,NYA202504010,NYA,"Wells, Austin",wella002,3,0,empty,empty,1,field_out,6,4,2
2025-04-01,NYA202504010,NYA,"Dominguez, Jasson",domij003,3,1,empty,empty,1,field_out,6,4,2
2025-04-01,NYA202504010,NYA,"Rice, Ben",riceb001,3,2,empty,empty,1,field_out,6,4,2
2025-04-01,NYA202504010,NYA,"Cabrera, Oswaldo",cabro002,3,0,empty,empty,1,field_out,7,4,2
2025-04-01,NYA202504010,NYA,"Goldschmidt, Paul",goldp001,4,1,empty,empty,1,field_out,7,4,2
2025-04-01,NYA202504010,NYA,"Bellinger, Cody",bellc002,4,2,empty,empty,1,field_out,7,4,2
2025-04-01,NYA202504010,NYA,"Judge, Aaron",judga001,4,0,empty,empty,1,strikeout,8,4,7
2025-04-01,NYA202504010,NYA,"Chisholm, Jazz",chisj001,4,1,empty,empty,1,strikeout,8,4,7
2025-04-01,NYA202504010,NYA,"Volpe, Anthony",volpa001,4,2,empty,empty,1,strikeout,8,4,7
2025-04-01,NYA202504010,NYA,"Wells, Austin",wella002,4,0,empty,empty,1,strikeout,9,4,7
2025-04-01,NYA202504010,NYA,"Grisham, Trent",grist001,1,1,empty,empty,1,strikeout,9,4,7
2025-04-01,NYA202504010,NYA,"Rice, Ben",riceb001,4,2,empty,empty,1,home_run,9,4,7
2025-04-01,NYA202504010,NYA,"Reyes, Pablo",reyep001,1,2,empty,empty,1,field_out,9,5,7
2025-04-02,NYA202504020,NYA,"Goldschmidt, Paul",goldp001,1,0,empty,empty,1,field_out,1,0,2
2025-04-02,NYA202504020,NYA,"Bellinger, Cody",bellc002,1,1,empty,empty,1,field_out,1,0,2
2025-04-02,NYA202504020,NYA,"Judge, Aaron",judga001,1,2,empty,empty,1,strikeout,1,0,2
2025-04-02,NYA202504020,NYA,"Chisholm, Jazz",chisj001,1,0,empty,empty,1,single,2,0,4
2025-04-02,NYA202504020,NYA,"Volpe, Anthony",volpa001,1,0,1B,1B,1,field_out,2,0,4
2025-04-02,NYA202504020,NYA,"Wells, Austin",wella002,1,1,1B,1B,1,double,2,0,4
2025-04-02,NYA202504020,NYA,"Dominguez, Jasson",domij003,1,1,2B+3B,2B+3B,1,strikeout,2,0,4
2025-04-02,NYA202504020,NYA,"Rice, Ben",riceb001,1,2,2B+3B,2B+3B,1,strikeout,2,0,4
2025-04-02,NYA202504020,NYA,"Cabrera, Oswaldo",cabro002,1,0,empty,empty,1,strikeout,3,0,4
2025-04-02,NYA202504020,NYA,"Goldschmidt, Paul",goldp001,2,1,empty,empty,1,field_out,3,0,4
2025-04-02,NYA202504020,NYA,"Bellinger, Cody",bellc002,2,2,empty,empty,1,strikeout,3,0,4
2025-04-02,NYA202504020,NYA,"Judge, Aaron",judga001,2,0,empty,empty,1,strikeout,4,0,4
2025-04-02,NYA202504020,NYA,"Chisholm, Jazz",chisj001,2,1,empty,empty,1,field_out,4,0,4
2025-04-02,NYA202504020,NYA,"Volpe, Anthony",volpa001,2,2,empty,empty,1,field_out,4,0,4
2025-04-02,NYA202504020,NYA,"Wells, Austin",wella002,2,0,empty,empty,1,field_out,5,0,4
2025-04-02,NYA202504020,NYA,"Dominguez, Jasson",domij003,2,1,empty,empty,1,strikeout,5,0,4
2025-04-02,NYA202504020,NYA,"Rice, Ben",riceb001,2,2,empty,empty,1,strikeout,5,0,4
2025-04-02,NYA202504020,NYA,"Cabrera, Oswaldo",cabro002,2,0,empty,empty,1,strikeout,6,0,4
2025-04-02,NYA202504020,NYA,"Goldschmidt, Paul",goldp001,3,0,1B,1B,1,strikeout,6,0,4
2025-04-02,NYA202504020,NYA,"Bellinger, Cody",bellc002,3,1,1B,1B,1,field_out,6,0,4
2025-04-02,NYA202504020,NYA,"Judge, Aaron",judga001,3,2,1B,1B,1,strikeout,6,0,4
2025-04-02,NYA202504020,NYA,"Chisholm, Jazz",chisj001,3,0,empty,empty,1,strikeout,7,0,4
2025-04-02,NYA202504020,NYA,"Volpe, Anthony",volpa001,3,1,empty,empty,1,strikeout,7,0,4
2025-04-02,NYA202504020,NYA,"Wells, Austin",wella002,3,2,empty,empty,1,single,7,0,4
2025-04-02,NYA202504020,NYA,"Dominguez, Jasson",domij003,3,2,1B,1B,1,field_out,7,0,4
2025-04-02,NYA202504020,NYA,"Rice, Ben",riceb001,3,0,empty,empty,1,strikeout,8,0,4
2025-04-02,NYA202504020,NYA,"Reyes, Pablo",reyep001,1,1,empty,empty,1,field_out,8,0,4
2025-04-02,NYA202504020,NYA,"Goldschmidt, Paul",goldp001,4,2,empty,empty,1,strikeout,8,0,4
2025-04-02,NYA202504020,NYA,"Bellinger, Cody",bellc002,4,0,empty,empty,1,single,9,0,4
2025-04-02,NYA202504020,NYA,"Judge, Aaron",judga001,4,0,1B,1B,1,single,9,0,4
2025-04-02,NYA202504020,NYA,"Chisholm, Jazz",chisj001,4,0,1B+2B,1B+2B,1,field_out,9,0,4
2025-04-02,NYA202504020,NYA,"Volpe, Anthony",volpa001,4,1,1B+3B,1B+3B,1,home_run,9,0,4
2025-04-02,NYA202504020,NYA,"Wells, Austin",wella002,4,1,empty,empty,1,field_out,9,3,4
2025-04-02,NYA202504020,NYA,"Dominguez, Jasson",domij003,4,2,empty,empty,1,strikeout,9,3,4
2025-04-03,NYA202504030,NYA,"Rice, Ben",riceb001,1,0,empty,empty,1,double,1,0,0
2025-04-03,NYA202504030,NYA,"Bellinger, Cody",bellc002,1,0,2B,2B,1,walk,1,0,0
2025-04-03,NYA202504030,NYA,"Judge, Aaron",judga001,1,0,1B+2B,1B+2B,1,home_run,1,0,0
2025-04-03,NYA202504030,NYA,"Chisholm, Jazz",chisj001,1,0,empty,empty,1,field_out,1,3,0
2025-04-03,NYA202504030,NYA,"Dominguez, Jasson",domij003,1,1,empty,empty,1,single,1,3,0
2025-04-03,NYA202504030,NYA,"Volpe, Anthony",volpa001,1,1,1B,1B,1,field_out,1,3,0
2025-04-03,NYA202504030,NYA,"Grisham, Trent",grist001,1,2,1B,1B,1,double,1,3,0
2025-04-03,NYA202504030,NYA,"Escarra, J. C.",escaj001,1,2,2B,2B,1,field_out,1,4,0
2025-04-03,NYA202504030,NYA,"Cabrera, Oswaldo",cabro002,1,0,empty,empty,1,field_out,2,4,1
2025-04-03,NYA202504030,NYA,"Rice, Ben",riceb001,2,1,empty,empty,1,walk,2,4,1
2025-04-03,NYA202504030,NYA,"Bellinger, Cody",bellc002,2,1,1B,1B,1,strikeout,2,4,1
2025-04-03,NYA202504030,NYA,"Judge, Aaron",judga001,2,2,1B,1B,1,field_out,2,4,1
2025-04-03,NYA202504030,NYA,"Chisholm, Jazz",chisj001,2,0,empty,empty,1,field_out,3,4,1
2025-04-03,NYA202504030,NYA,"Dominguez, Jasson",domij003,2,1,empty,empty,1,field_out,3,4,1
2025-04-03,NYA202504030,NYA,"Volpe, Anthony",volpa001,2,2,empty,empty,1,single,3,4,1
2025-04-03,NYA202504030,NYA,"Grisham, Trent",grist001,2,2,1B,1B,1,home_run,3,4,1
2025-04-03,NYA202504030,NYA,"Escarra, J. C.",escaj001,2,2,empty,empty,1,field_out,3,6,1
2025-04-03,NYA202504030,NYA,"Cabrera, Oswaldo",cabro002,2,0,empty,empty,1,strikeout,4,6,3
2025-04-03,NYA202504030,NYA,"Rice, Ben",riceb001,3,1,empty,empty,1,walk,4,6,3
2025-04-03,NYA202504030,NYA,"Bellinger, Cody",bellc002,3,1,1B,2B,0,field_out,4,6,3
2025-04-03,NYA202504030,NYA,"Judge, Aaron",judga001,3,2,2B,2B,1,single,4,6,3
2025-04-03,NYA202504030,NYA,"Chisholm, Jazz",chisj001,3,2,1B,2B,0,home_run,4,7,3
2025-04-03,NYA202504030,NYA,"Dominguez, Jasson",domij003,3,2,empty,empty,1,double,4,9,3
2025-04-03,NYA202504030,NYA,"Volpe, Anthony",volpa001,3,2,2B,2B,1,strikeout,4,9,3
2025-04-03,NYA202504030,NYA,"Grisham, Trent",grist001,3,0,empty,empty,1,field_out,5,9,3
2025-04-03,NYA202504030,NYA,"Escarra, J. C.",escaj001,3,1,empty,empty,1,field_out,5,9,3
2025-04-03,NYA202504030,NYA,"Cabrera, Oswaldo",cabro002,3,2,empty,empty,1,field_out,5,9,3
2025-04-03,NYA202504030,NYA,"Rice, Ben",riceb001,4,0,empty,empty,1,field_out,6,9,3
2025-04-03,NYA202504030,NYA,"Bellinger, Cody",bellc002,4,1,empty,empty,1,field_out,6,9,3
2025-04-03,NYA202504030,NYA,"Judge, Aaron",judga001,4,2,empty,empty,1,double,6,9,3
2025-04-03,NYA202504030,NYA,"Chisholm, Jazz",chisj001,4,2,2B,2B,1,strikeout,6,9,3
2025-04-03,NYA202504030,NYA,"Dominguez, Jasson",domij003,4,0,empty,empty,1,field_out,7,9,7
2025-04-03,NYA202504030,NYA,"Volpe, Anthony",volpa001,4,1,empty,empty,1,field_out,7,9,7
2025-04-03,NYA202504030,NYA,"Grisham, Trent",grist001,4,2,empty,empty,1,single,7,9,7
2025-04-03,NYA202504030,NYA,"Escarra, J. C.",escaj001,4,2,1B,1B,1,double,7,9,7
2025-04-03,NYA202504030,NYA,"Goldschmidt, Paul",goldp001,1,2,2B+3B,2B+3B,1,intent_walk,7,9,7
2025-04-03,NYA202504030,NYA,"Rice, Ben",riceb001,5,2,1B+2B+3B,1B+2B+3B,1,strikeout,7,9,7
2025-04-03,NYA202504030,NYA,"Bellinger, Cody",bellc002,5,0,empty,empty,1,strikeout,8,9,7
2025-04-03,NYA202504030,NYA,"Judge, Aaron",judga001,5,1,empty,empty,1,field_out,8,9,7
2025-04-03,NYA202504030,NYA,"Chisholm, Jazz",chisj001,5,2,empty,empty,1,walk,8,9,7
2025-04-03,NYA202504030,NYA,"Dominguez, Jasson",domij003,5,2,1B,2B,0,strikeout,8,9,7
2025-04-04,PIT202504040,NYA,"Rice, Ben",riceb001,1,0,empty,empty,1,single,1,0,0
2025-04-04,PIT202504040,NYA,"Judge, Aaron",judga001,1,0,1B,1B,1,walk,1,0,0
2025-04-04,PIT202504040,NYA,"Chisholm, Jazz",chisj001,1,0,1B+2B,1B+2B,1,strikeout,1,0,0
2025-04-04,PIT202504040,NYA,"Goldschmidt, Paul",goldp001,1,1,1B+2B,1B+2B,1,strikeout,1,0,0
2025-04-04,PIT202504040,NYA,"Wells, Austin",wella002,1,2,2B+3B,2B+3B,1,field_out,1,0,0
2025-04-04,PIT202504040,NYA,"Volpe, Anthony",volpa001,1,0,empty,empty,1,field_out,2,0,0
2025-04-04,PIT202504040,NYA,"Grisham, Trent",grist001,1,1,empty,empty,1,walk,2,0,0
2025-04-04,PIT202504040,NYA,"Dominguez, Jasson",domij003,1,1,1B,1B,1,double,2,0,0
2025-04-04,PIT202504040,NYA,"Cabrera, Oswaldo",cabro002,1,1,2B+3B,2B+3B,1,single,2,0,0
2025-04-04,PIT202504040,NYA,"Rice, Ben",riceb001,2,1,2B,2B,1,walk,2,2,0
